date;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2019-09-12 03:00:00;20.99;83.05;39.55;14.65;14;83;40;0.0;28.03;25.75;0.402513635;0.634922854;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 04:00:00;22.66;82.74;39.91;14.65;14;82;40;0.0;30.74;25.75;0.440046765;0.663978833;3.2632464478647374;-0.12927982557014345;0.9735999549557928;0.2816518525315302;84.07;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2019-09-12 05:00:00;26.02;80.1;38.79;14.65;14;80;40;0.0;44.66;25.75;0.470409035;0.680895632;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-12 06:00:00;26.05;80.08;38.43;14.65;14;80;40;0.0;50.32;25.75;0.474877596;0.678081585;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-12 07:00:00;24.22;79.6;38.48;14.65;14;79;40;0.0;55.55;25.75;0.462187427;0.679532686;3.381760799126883;-0.1306779242270728;0.973580391236232;0.28025050057057577;84.07;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2019-09-12 08:00:00;22.6;80.1;38.45;14.65;14;80;40;0.0;47.96;25.75;0.439812229;0.682222511;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-12 09:00:00;21.66;82.69;39.16;14.65;14;82;40;8.613628805761422e-05;43.93;25.75;0.400664254;0.683893176;3.2632464478647374;-0.12927982557014345;0.9735999549557928;0.2816518525315302;84.07;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2019-09-12 10:00:00;20.77;83.29;38.73;14.65;14;83;40;0.0001076179504342;41.97;25.75;0.36873464;0.683394516;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 11:00:00;20.13;83.45;38.62;14.65;14;83;40;0.0;40.99;25.75;0.341421814;0.681459464;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 12:00:00;20.08;83.42;38.89;14.65;14;83;40;0.0002242570324631;35.28;25.75;0.323467116;0.673173;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 13:00:00;19.16;83.3;38.98;14.65;14;83;40;0.0004882454660363;32.68;25.75;0.313672289;0.661349557;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 14:00:00;18.93;83.3;39.1;14.65;14;83;40;0.0002208600120196;32.72;25.75;0.320373711;0.663574656;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 15:00:00;19.01;83.28;39.4;14.65;14;83;40;0.000371640825582;32.75;25.75;0.342031307;0.668127101;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 16:00:00;19.54;83.17;39.72;14.65;14;83;40;0.000148372117243;39.9;25.75;0.379480145;0.673089092;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 17:00:00;18.85;77.91;40.81;14.65;14;77;40;0.0;42.0;25.75;0.429742675;0.673529168;3.462384823190866;-0.13107575087064252;0.9734453041790435;0.27944543430981195;84.07;2.6909435726880875;1.565665155611498;0.4350898833942264;0.3523585378594898
2019-09-12 18:00:00;19.15;80.3;39.89;14.65;14;80;40;0.0;44.27;25.75;0.466115785;0.673536745;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-12 19:00:00;18.9;77.04;40.62;14.65;14;77;40;0.0;44.17;25.75;0.456231046;0.671629046;3.462384823190866;-0.13107575087064252;0.9734453041790435;0.27944543430981195;84.07;2.6909435726880875;1.565665155611498;0.4350898833942264;0.3523585378594898
2019-09-12 20:00:00;18.09;76.4;43.03;14.65;14;76;40;0.0;41.51;25.75;0.432948574;0.67091831;3.502881574546803;-0.13108529824377133;0.973362618307475;0.27923713971840286;84.07;2.6909435726880866;1.565665155611499;0.4351064827188983;0.3523585378594898
2019-09-12 21:00:00;17.07;76.54;43.78;14.65;14;76;40;0.0;36.84;25.75;0.407966986;0.661639913;3.502881574546803;-0.13108529824377133;0.973362618307475;0.27923713971840286;84.07;2.6909435726880866;1.565665155611499;0.4351064827188983;0.3523585378594898
2019-09-12 22:00:00;16.11;76.23;44.22;14.65;14;76;40;0.0;30.93;25.75;0.378224555;0.647654684;3.502881574546803;-0.13108529824377133;0.973362618307475;0.27923713971840286;84.07;2.6909435726880866;1.565665155611499;0.4351064827188983;0.3523585378594898
2019-09-12 23:00:00;15.44;75.68;44.37;14.65;14;75;40;0.0;30.05;25.75;0.36058295;0.63529252;3.5441641429289854;-0.13108599742738095;0.9732641271405772;0.2790172551299255;84.07;2.6909435726880875;1.5656651556115004;0.4351261521309408;0.3523585378594898
